# From Humes et al. 2024
Wavelength          Emissivity
5.00000             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.05765             0.784513
7.393601            0.7849993
7.393601            0.7849993
7.393601            0.7849993
7.393601            0.7849993
7.393601            0.7849993
7.393601            0.7849993
7.59704             0.7881364
7.59704             0.7881364
7.59704             0.7881364
7.59704             0.7881364
7.59704             0.7881364
7.59704             0.7881364
7.59704             0.7881364
7.843384            0.792213
7.843384            0.792213
7.843384            0.792213
7.843384            0.792213
7.843384            0.792213
7.843384            0.792213
7.986367            0.7977881
7.986367            0.7977881
7.986367            0.7977881
7.986367            0.7977881
7.986367            0.7977881
7.986367            0.7977881
7.986367            0.7977881
8.158397            0.8034688
8.158397            0.8034688
8.158397            0.8034688
8.158397            0.8034688
8.158397            0.8034688
8.158397            0.8034688
8.158397            0.8034688
8.158397            0.8034688
8.200892            0.8170753
8.200892            0.8170374
8.200892            0.8170374
8.200892            0.8170374
8.200892            0.8170374
8.200892            0.8170374
8.200892            0.8170374
8.200892            0.8170374
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.279004            0.8302862
8.368406            0.845223
8.368406            0.845223
8.368406            0.845223
8.368406            0.845223
8.368406            0.845223
8.368406            0.845223
8.368406            0.845223
8.368406            0.845223
8.45863             0.8615429
8.45863             0.8615429
8.45863             0.8615429
8.45863             0.8615429
8.45863             0.8615429
8.45863             0.8615429
8.45863             0.8615429
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.534689            0.8749797
8.595043            0.8864959
8.595043            0.8864959
8.595043            0.8864959
8.595043            0.8864959
8.595043            0.8864959
8.595043            0.8864959
8.595043            0.8864959
8.595043            0.8864959
8.733406            0.9002046
8.733406            0.9002046
8.733406            0.9002046
8.733406            0.9002046
8.733406            0.9002046
8.733406            0.9002046
8.733406            0.9002046
8.733406            0.9002046
8.827838            0.909174
8.827838            0.909174
